dev_coding_hours,caffeine_intake_mg,distractions,sleep_duration_hours,code_commits,issues_reported,mental_effort_score,task_completion_status,ai_tool_usage_hours
5.452987883,605,4,6.166484172,6,1,7.477881512,0,1.8628
6.124707516,638,1,6.077419796,5,1,3.711388575,0,2.0126
5.266304684,380,1,6.577563761,4,1,2.806443499,1,1.693
6.627912715,364,6,8.97485027,2,1,4.52421742,1,1.8125
4.797845739,117,2,7.138872898,6,0,7.091970628,1,1.3757
3.746683124,108,3,5.960948188,0,2,7.531669079,0,1.0822
2.269761198,595,4,5.034187472,3,1,2.155890153,0,0.9357
7.342495017,596,2,6.911902389,7,1,5.768323888,0,1.9342
4.332775544,606,4,6.473211323,0,0,5.846981532,0,1.2655
7.904843895,353,4,7.245388122,3,0,7.153025158,0,1.7643
3.822738134,568,3,4.486509793,3,3,3.729558494,0,1.3393
3.856161283,608,3,8.073928074,10,0,7.02813291,0,1.5661
1.643487448,572,2,9.071180978,4,0,8.579938782,1,0.808
1.479391512,560,1,7.736815156,5,2,3.791108709,0,0.749
1.830041571,528,3,9.175978102,4,0,3.338167867,0,0.7505
6.558540284,434,5,7.376637726,3,0,4.337062477,1,1.2799
0.915552021,538,1,3.120719329,8,0,2.515041845,0,0.8026
4.583087294,537,3,7.832881316,7,1,3.478120482,1,1.2836
3.843225166,504,2,5.501404551,3,0,2.257527644,1,0.5777
3.42604977,321,1,6.581720354,7,2,0.820289734,1,0.8604
0.586801528,568,4,6.659534841,11,2,2.228580794,1,0.6701
1.950934577,402,6,7.65231086,6,2,5.824180553,0,1.0363
6.46058326,237,1,6.506248235,1,0,4.905179132,1,2.1936
2.538747603,288,1,6.006382096,4,0,4.83045733,0,0.766
6.642423233,563,6,6.443316279,1,0,5.263151924,1,1.6831
3.753134954,585,4,8.188922612,3,0,5.996800938,1,1.3815
5.236285345,306,3,4.821859844,4,0,3.10160896,0,1.473
1.814199791,312,3,8.214452407,4,1,6.389355273,1,0.7395
0.669328341,566,5,6.013936934,10,3,3.078211043,0,0.7635
3.888079618,588,4,6.143513126,5,2,3.116499087,1,1.0808
2.230845289,593,3,6.639870053,4,0,6.093116986,1,1.158
4.565470745,556,3,7.246908434,5,1,5.759465428,1,1.7189
3.46455827,594,3,7.460763825,1,2,2.126848905,0,1.2753
0.578592425,495,4,9.045376308,12,3,2.960316713,0,0.5617
6.716409706,569,3,7.930724753,6,1,2.113957808,0,1.5667
8.429280376,393,3,7.516420181,8,0,1.6351285,0,1.6006
4.735505511,554,5,7.051810122,2,0,0.83186579,0,1.1556
5.045072388,298,2,9.410903821,2,0,6.115740973,0,1.4281
5.013810567,594,3,4.383824137,7,0,2.590384069,1,1.4648
4.023006798,545,5,6.724201474,1,0,5.577288212,1,1.2339
1.539080088,424,4,5.720893167,2,3,5.436424783,1,0.6382
1.937511576,582,3,4.916724503,3,4,6.355301393,0,1.0786
9.312744095,441,2,3.845167034,2,3,1.664858868,1,3.3022
5.974933517,436,2,7.46646703,5,0,5.503773636,1,1.1761
5.101322615,536,5,6.166431354,8,0,4.119054564,1,1.7181
4.385179522,39,3,6.947189224,7,0,3.763543691,1,1.1968
4.052054757,597,5,7.095976115,0,0,5.739076749,1,1.231
2.70597025,461,2,6.841861597,8,2,3.094404431,1,0.8431
5.66430908,480,1,6.366522752,2,2,6.275095489,0,2.4345
6.147540544,182,2,8.116645157,5,0,3.396482413,1,1.1562
4.956628797,387,5,8.31686982,2,0,4.873779407,0,1.3903
6.039214139,597,3,4.790070871,3,2,5.745113247,1,1.7524
6.414186975,601,3,7.775779043,1,0,1.956927292,0,1.771
5.639824296,411,3,6.419183414,5,0,4.444240954,1,2.0025
6.116629541,620,1,8.52047571,7,3,5.046042783,0,1.9426
4.580589777,585,7,4.383182098,5,3,4.943790118,1,1.3843
1.079617824,545,3,6.046217627,3,5,1.450786692,0,0.7525
7.896247029,257,3,6.768981486,6,1,7.783541491,1,2.4447
3.233932279,370,4,8.732368872,1,1,2.611712824,0,1.0983
8.794682256,505,3,7.38116492,9,3,3.643080193,0,2.956
4.620258046,500,4,8.60444686,5,1,6.286697952,1,1.6896
2.847028587,616,0,8.979372308,2,1,3.898447602,1,1.0483
4.376020946,598,2,3.518820552,5,3,6.681421195,1,1.6382
5.259164758,340,0,8.755112751,4,4,1.082893715,1,1.5896
5.978021083,523,2,9.11607972,6,0,3.324497214,0,1.3888
4.542281104,589,3,5.240058081,4,0,3.752519061,1,1.65
2.735894122,145,5,5.648509748,4,0,2.442990078,1,0.9254
7.877653691,475,1,7.216334324,2,0,4.277188605,1,1.8349
3.614843071,351,1,7.066223167,5,1,4.388357631,1,0.9996
5.557721019,622,1,8.304446923,0,2,4.768372371,1,1.73
7.048866624,487,1,4.87204091,7,1,5.406356603,1,2.008
3.737024532,603,4,6.777317453,0,1,2.70089265,1,1.1432
4.296268882,588,0,9.445676176,3,2,2.944307275,1,1.2909
1.351009459,590,5,4.884046948,7,0,4.056446009,1,0.7474
2.36120773,598,4,7.757818338,1,0,6.119497063,1,1.0494
4.775446954,560,3,6.418417145,8,0,4.232066205,0,1.438
4.428001502,527,2,9.617290647,3,0,6.743556148,0,1.1484
2.736084661,608,6,6.534059086,6,0,2.584782601,0,0.9373
5.880561187,602,1,8.354742909,6,0,3.791677229,0,1.8479
6.565180326,428,2,8.431381157,5,0,3.602616699,1,1.8302
5.999350958,538,5,4.978429816,2,0,5.691365281,1,1.326
3.466016351,609,3,4.688618183,2,3,1.783614173,1,1.9322
6.760016544,231,0,6.255575622,3,0,6.085889048,1,2.3253
5.965513113,581,2,6.676684294,3,0,3.097883227,1,1.0963
3.732514855,457,1,8.955981775,0,0,8.812567142,1,0.9756
3.129637235,369,2,7.890321997,6,0,4.948605914,1,1.1805
3.815780407,283,6,9.688297542,0,0,7.600917277,1,1.7942
6.01088871,629,8,7.333564838,5,1,5.599067238,1,2.2448
6.083435116,564,1,6.507451693,2,0,8.473268666,0,0.9615
2.411884583,627,1,5.306711067,5,0,3.701377251,1,1.6947
5.9508928,584,3,6.339849716,3,0,7.064964656,0,1.4697
3.746245555,596,3,8.739157742,5,0,7.229479161,1,1.24
4.272216125,530,3,5.895508702,2,0,3.912548889,0,1.1292
5.424579291,281,5,7.559122286,5,0,1.944627505,1,1.4709
6.49061047,150,7,7.476619822,4,0,9.005656167,1,0.9374
3.722428349,336,1,4.871763399,7,2,4.486362146,1,2.0252
6.217464736,153,6,6.031853047,2,0,7.396638749,0,1.0859
3.412438639,555,3,3.342184169,3,1,8.982755151,1,2.1077
7.901856559,565,4,8.063398542,2,1,7.060613877,0,0.9039
2.062830097,369,4,7.716820509,6,3,3.706407828,1,1.561
4.90284011,613,3,7.723802347,4,0,4.012966337,0,1.0395
2.159997028,620,1,7.620894299,5,2,5.382193684,0,2.493
6.958256686,415,6,3.907629678,8,0,4.132081198,0,1.1589
4.768982864,604,6,7.232853466,3,0,6.235396683,0,1.2152
3.73652212,141,5,7.247549113,5,0,2.832618016,0,1.0874
4.004584557,542,2,8.309620358,7,0,1.721382161,1,1.3462
5.060040176,458,1,5.558048493,3,0,2.406869767,0,2.127
5.59376918,336,2,5.05575752,7,1,6.363053032,0,2.0633
6.194949869,573,2,5.677281346,1,4,2.216476069,1,1.1087
2.959118489,447,2,7.135643378,7,0,5.300140683,1,1.2458
3.205267727,321,2,7.874930393,4,1,4.327334177,1,1.3445
4.575414424,589,7,6.501728935,2,0,6.422153229,1,1.0987
4.210473872,595,2,7.179740551,2,0,6.061024065,0,0.9871
3.546302911,266,2,6.679921292,4,0,8.998831881,1,1.5341
4.233411751,425,1,6.006577812,3,0,5.162783132,1,1.766
5.095332599,554,2,6.215562855,7,3,3.182853456,1,1.8815
5.130937215,457,2,8.435148186,2,0,4.977256597,0,1.1945
5.724613446,623,3,7.887370358,6,3,6.982210505,0,2.4365
3.250875988,614,3,5.545443058,7,0,4.982414491,0,2.0791
5.751650145,485,2,4.542602068,0,0,3.359480061,0,1.6196
8.150827396,596,5,7.505346974,2,0,5.003547627,0,1.1659
5.492338821,586,6,7.552485161,6,0,6.898036697,1,1.3271
2.858929314,616,3,7.273221427,5,0,6.267483218,1,1.5712
4.852650492,354,4,10.19271456,2,0,5.129509459,0,1.6936
6.231923764,598,2,7.154323003,10,0,5.439696165,1,1.811
4.575648302,584,3,5.90946567,7,0,3.872521074,1,2.1468
5.679632398,599,3,9.226257167,8,0,5.718184909,1,1.5352
5.757830205,523,3,6.351064201,4,0,4.699356402,1,1.6879
5.191053029,578,2,7.695937309,2,2,1.779268203,0,2.0656
5.06600352,29,6,6.854009815,5,2,7.459065459,0,2.1642
6.51517255,256,2,4.863564378,11,1,3.461986043,0,1.2314
6.642728868,443,7,3.603075631,6,0,2.178083388,1,1.3527
3.946646008,159,4,6.781080129,4,2,4.257398905,0,2.8465
3.647134966,601,1,7.152120735,3,2,4.575630763,0,1.728
8.858301978,503,2,6.257878436,4,1,2.122524185,0,2.2568
6.358271999,607,6,7.952086937,4,3,6.79733596,1,2.1071
6.378055373,588,5,6.340725753,7,1,4.493507505,1,2.4531
6.38894326,454,2,6.804479345,2,0,3.505980448,1,1.9331
7.492643677,199,0,4.829938629,8,0,4.742699997,1,1.2095
5.799082733,597,4,6.966530823,0,0,3.254114913,0,1.0209
4.779804534,507,4,8.63261019,9,2,1.573440779,0,2.2695
2.729430872,534,5,7.513534824,0,0,4.120547343,1,0.5909
6.11457423,363,3,6.425807212,3,5,7.161635466,1,1.4487
0.85993297,511,2,6.060695818,2,0,7.017928412,0,1.8046
4.44662746,613,3,6.146683025,7,0,4.772291768,1,1.5291
6.582419602,594,2,5.22828735,1,2,5.280425145,0,1.6938
4.855038772,406,4,7.189818799,2,3,5.74613487,0,0.955
5.413992165,577,5,4.675991125,0,1,0.690275219,1,1.1683
2.577518221,502,1,8.711007286,6,2,2.039819948,0,1.9821
3.566683039,595,4,5.717849355,6,3,2.502449912,0,1.4012
6.769226177,575,6,7.680841328,10,1,1.473431976,1,1.5579
7.139908387,371,4,7.627798574,10,0,5.087098926,1,1.8606
3.032110665,333,5,8.674129982,5,0,5.168199626,0,3.4793
5.067272396,217,4,7.163769628,6,0,4.94371655,0,2.0612
5.962135555,509,3,9.180377812,3,0,0.731986627,1,1.7701
9.31988285,606,4,6.486689414,3,0,3.241746954,1,1.424
5.971635866,614,5,7.997306998,2,1,5.218389801,0,1.987
8.191714707,487,3,7.372512341,11,0,3.804070915,0,3.7605
3.610345788,600,7,6.679114132,8,0,5.622823987,1,1.1853
5.794649481,493,3,10.10404884,7,4,6.022354051,1,2.4448
9.010938418,397,5,5.950216787,6,1,6.694543241,1,1.368
4.666292301,506,4,3.89463308,2,1,3.778552273,1,1.6371
7.851925653,278,1,6.748626772,10,2,3.749385914,1,0.9446
3.527534445,427,1,8.737375793,5,0,6.401147977,1,1.5481
5.087667165,492,2,6.693264633,5,2,6.148217189,1,3.3852
2.294062456,601,2,7.765703796,5,0,1.918134728,0,1.5531
5.041340114,590,5,7.486345944,8,0,5.811918285,1,1.3773
9.01012944,463,1,6.236153236,2,0,7.233235366,1,2.0503
8.504045288,593,3,7.8414624,9,1,2.403116781,0,1.7573
5.094659935,611,4,5.901513746,4,2,5.231533467,0,0.9443
8.238582608,598,4,8.901773349,1,3,2.57717656,0,0.9151
5.253705185,239,1,5.604338889,1,0,4.615720173,0,2.6632
1.96255383,469,3,6.200564338,9,1,4.897005845,1,1.8551
4.982081115,555,2,7.053271198,2,0,5.230659667,0,0.8887
7.210534544,594,5,4.54173688,5,0,4.442210738,1,1.0317
5.950418661,306,2,5.513996745,6,0,6.806561965,1,1.4569
1.946072253,370,5,6.98725671,0,0,2.076274126,1,0.9009
3.227097186,131,2,6.46528036,4,1,5.791245568,1,1.4618
4.722142915,608,4,5.995825021,6,0,4.960721144,1,1.7982
2.274210657,405,1,5.207089935,8,1,4.3185145,0,1.596
4.790080981,358,4,6.666124915,9,0,5.138947156,1,1.1997
6.698067283,624,3,8.694095639,5,0,7.343723376,0,2.2467
4.606964316,581,3,5.776999439,4,2,6.161157741,1,1.6969
4.037386022,603,3,6.486841262,9,1,1.175755459,0,0.6779
5.980736266,371,3,4.064643197,0,0,7.290408142,0,0.9023
5.344155884,593,2,7.260793485,2,0,6.156698394,0,1.0769
1.725799342,322,4,6.708164825,4,0,5.640544839,0,0.8333
2.176341865,449,5,5.585688284,10,0,4.639597904,1,1.5636
3.993129967,600,3,4.441843075,6,2,2.292068693,1,2.1632
3.852091414,456,0,7.361476933,6,1,2.958479045,0,1.8418
6.685298469,600,1,9.432324643,8,1,3.891532626,1,1.3618
6.818912052,598,3,6.354980177,4,1,5.679534195,0,1.2916
5.794888312,595,0,8.013025378,3,1,2.700087419,1,2.8012
3.279707587,595,5,7.294477326,4,0,3.592862766,0,0.7122
3.825394464,609,7,10.07140384,5,0,5.119796062,1,1.0891
7.855838948,525,2,5.866330639,1,0,3.25469762,0,2.4503
1.672456579,621,3,8.496298446,1,0,5.141515469,0,0.8071
3.580853209,347,2,3.650921682,3,0,4.942311705,1,1.9753
6.965943923,493,2,6.606738557,2,4,5.566057699,1,1.4059
1.807442617,331,2,7.228547868,0,0,2.25947032,0,1.0736
5.495962729,474,2,6.46027618,9,0,4.488549397,0,0.9054
5.797479643,211,2,7.594133153,1,0,6.072311821,0,1.308
2.710933642,582,2,7.18526349,3,0,4.248021101,1,0.9269
2.786264288,377,1,7.370325693,8,0,3.772742316,1,1.6053
3.802493066,590,2,6.304638713,9,2,4.72220071,1,1.2632
2.637452176,454,2,7.959708506,6,0,1.111181483,1,2.26
6.665949484,602,2,7.41805035,0,3,2.242459189,0,1.7947
3.261851783,564,2,5.646746812,1,3,2.569913282,1,1.1841
5.644033801,569,2,3.517099852,4,1,5.556649385,1,0.9198
7.560113762,398,3,8.508722057,7,2,2.793960084,1,1.6869
4.736272023,417,4,7.478587626,5,0,3.329240286,0,1.1834
2.692120098,272,6,6.132375472,7,1,3.515902623,1,0.8958
5.806745973,543,0,9.00567889,6,1,5.697106907,0,1.2322
3.223064927,606,0,7.185736209,6,0,3.662924037,0,1.5615
2.168448168,344,1,7.043620717,4,2,5.084579624,1,1.4199
5.959947666,430,0,9.39308766,6,0,4.466511832,1,1.7193
4.966012533,602,1,7.926822362,5,2,1.696634677,1,2.1044
4.706978236,561,0,6.624938009,5,0,6.79070794,1,1.8146
7.810660319,548,2,7.915623485,9,1,3.180772993,0,1.551
5.837875837,620,1,6.358427733,7,0,4.585121113,1,1.2232
8.692453867,600,5,7.556523887,10,1,1.389915853,0,3.9304
5.183923051,570,1,8.699167619,4,0,2.217498471,0,1.2302
3.569058597,606,7,4.311945617,0,0,1.200337512,1,1.2094
10.08966705,605,2,8.465861836,4,0,5.897466208,1,1.1668
3.939776537,593,6,6.126086196,0,0,6.117913439,1,0.6067
4.886103964,427,0,8.870578392,5,0,3.44748297,0,1.3969
4.86594654,477,1,5.991144773,3,1,4.743646292,0,1.1071
1.72849991,241,2,7.330755197,5,1,5.131394337,0,1.4633
3.476983344,418,2,8.452072982,4,0,7.553464424,1,1.1636
4.392457737,521,0,9.481551711,3,0,6.180084476,1,1.8272
3.30157271,626,2,8.831494663,5,3,4.214567859,0,1.6728
5.896373208,407,1,8.580616615,5,0,3.397471371,1,2.4177
5.695392304,370,2,9.64098305,6,2,3.703290974,1,1.4765
3.989801039,432,3,8.23305621,5,0,7.171101367,0,0.8697
8.206444832,622,3,7.098834334,1,2,4.747342234,0,0.9981
7.380633604,390,3,9.01425142,11,0,2.320472881,0,0.9876
2.413035038,496,1,8.692499984,5,0,4.676973039,0,0.6862
3.986017342,356,2,3.669756949,0,0,1.139167144,1,1.549
1.977840648,427,1,6.536138763,8,0,6.543540786,0,2.111
1.528232271,314,2,4.884535143,6,2,3.894738385,1,2.1129
5.644390872,594,0,8.591632609,5,2,7.356222641,1,1.0177
7.464581199,538,2,6.988512272,5,2,0.836936863,1,1.9372
6.967999801,305,5,5.392343497,6,3,2.317795061,1,1.4899
2.567541819,590,3,8.866973422,4,1,1.939065803,1,1.7881
5.597534874,615,3,6.153074971,9,0,2.077568339,1,1.2618
6.233768072,222,4,8.827069674,3,0,4.831333776,0,2.0114
6.075862285,548,0,9.781214779,5,0,5.337277757,1,1.465
4.264656038,596,1,6.360868549,4,2,4.128927547,0,0.9531
6.812012505,478,2,7.481364656,0,2,8.306484797,0,1.0489
4.834432237,421,3,6.589003803,4,1,6.797252967,0,0.9334
2.767028683,589,2,6.213893364,8,2,5.175939233,1,0.9425
1.892654381,532,4,5.194069311,5,3,4.105779873,1,2.4179
2.271485162,388,3,8.813206532,8,3,3.824024913,1,0.9766
2.140622959,551,3,9.19680757,5,0,5.871401771,0,1.1302
5.695988982,522,3,5.253261092,4,1,6.461037635,1,0.5453
2.5652323,327,1,5.493216869,3,2,6.466903858,0,2.591
4.022632599,235,5,7.222567708,0,3,3.528041557,1,0.5915
-0.172940968,569,2,9.94933386,3,2,5.429372531,1,1.2197
8.089240933,607,2,6.318073648,3,1,2.030121181,0,1.4502
1.076513425,450,3,3.145157749,1,0,2.147323283,0,1.5576
4.616011898,339,4,7.842536587,1,0,8.538180301,0,1.0751
4.55273148,301,1,5.790605247,2,0,4.039625547,1,1.0997
5.312022827,550,0,9.806310425,2,0,4.120148995,1,1.1248
2.921912241,636,1,7.215408042,4,0,6.745718074,0,1.5231
3.639456895,571,1,9.044544582,7,0,3.833571674,1,1.595
6.923906894,624,2,7.420387596,8,0,2.608160642,1,2.4593
4.34547907,266,2,6.246850882,6,3,7.50414604,0,0.7359
6.329413838,409,3,7.623156923,9,2,4.91326532,1,1.9196
8.517599434,526,6,6.80594288,2,2,6.085225587,0,1.4682
2.334691194,242,4,8.398330036,7,0,4.555752289,1,1.6007
4.468089098,590,2,7.441255934,11,1,6.60769859,0,0.9821
5.036502598,288,6,6.738832136,5,0,3.35081024,1,1.5486
6.328417099,585,2,4.884808298,3,2,3.62286972,1,1.4416
3.540816318,518,3,9.52119266,7,2,2.500567251,1,1.2585
5.673539454,461,2,8.247134246,5,2,4.34531904,1,1.8887
3.977915591,605,2,6.372579643,4,3,0.878294302,1,1.7367
4.130286372,592,3,8.212654786,6,0,1.377901221,1,0.9801
6.430007775,564,4,7.594594678,4,1,1.694451487,1,0.9051
5.138455272,334,5,3.952677537,4,1,5.953702994,1,1.0473
3.853687872,381,3,5.904516189,3,1,3.583262497,0,1.7436
2.091998077,333,4,6.264888199,4,0,4.690665781,0,0.9208
5.042106561,504,1,7.533250178,3,0,4.522190168,1,4.119
5.823547381,614,2,7.239534941,5,0,5.443895546,0,1.027
2.971134325,276,5,6.019306799,5,1,3.434415701,1,1.5135
11.84348761,612,1,6.856452464,4,0,4.718846395,1,2.4822
3.456487339,576,3,5.962939812,2,0,1.867749054,1,0.6026
4.385055558,594,4,6.293210871,6,0,4.762784618,1,1.4202
7.329703417,499,2,6.495358962,3,0,3.656074331,0,2.3747
2.860960828,268,2,5.825840946,7,0,6.499925683,1,2.23
5.483112212,619,6,5.560615804,6,0,6.603982602,0,1.1498
8.218299456,410,5,6.120459293,7,0,5.816129105,0,1.0866
7.023431643,437,1,5.439263827,5,0,3.477454595,1,1.7133
4.907998535,467,2,6.104274078,4,0,3.493855776,0,2.4053
2.741453596,574,7,6.096207668,5,0,6.342747292,0,0.5712
5.182776374,488,1,8.273460988,1,0,7.20026386,0,2.0944
6.450002789,372,2,5.94415416,2,0,1.238956948,0,3.0754
-0.05872996,410,3,7.747541284,7,2,4.502316861,1,2.2068
6.43905746,569,3,9.954995093,1,0,5.195045671,0,1.2706
7.554002642,598,3,6.15598588,12,0,1.771525982,1,1.8772
5.689559115,317,2,4.94668113,2,2,4.357102997,1,1.1502
3.85603914,578,2,7.499794245,2,0,6.285011062,1,1.8831
5.002041462,589,2,7.078909971,5,0,8.365167097,1,1.1242
4.449128241,599,4,3.62435377,5,2,2.343452465,0,2.676
6.910019257,530,2,7.491982581,0,2,4.647222893,0,2.1649
3.74769987,319,3,6.718904473,1,0,7.523801333,1,1.8193
6.280451066,401,0,6.32140631,5,3,0.960205353,1,1.5975
6.963767479,596,1,6.620660282,2,0,3.863825095,1,1.3274
6.1294674,598,1,7.974943008,3,0,3.47835826,1,0.6088
5.160424988,574,2,6.071182961,5,1,3.164411787,1,1.5376
4.540841397,351,2,8.322309753,3,0,4.34530087,1,1.0289
0.780458677,548,3,9.871041423,5,0,3.404056368,1,1.6293
4.091833953,612,6,9.837647951,8,1,5.789013576,1,0.9393
2.077608361,528,1,7.441595986,5,2,5.553980635,1,1.5583
4.203293936,465,3,8.143312193,7,0,5.971253801,0,1.568
2.518622606,377,2,6.860566987,5,1,2.649626522,0,1.033
5.815684394,514,2,6.969310242,7,0,7.075232074,0,1.6676
4.905096927,485,1,7.695394619,6,0,8.732090639,1,2.3591
4.342402974,501,2,6.436483843,1,1,3.910416527,1,1.6352
5.10254811,489,2,6.805232255,5,2,4.733130329,0,1.1634
6.268587688,288,1,5.651207872,9,1,3.000188683,0,1.4558
4.952083444,455,3,7.276576853,4,1,3.576253596,1,2.3252
4.64181854,423,2,6.633188763,1,3,3.620079357,0,2.3162
3.54859493,265,2,6.786813786,0,2,2.573513888,1,1.4258
6.450575523,311,4,8.44736013,4,1,2.716952938,1,4.2856
5.701803652,599,5,5.724033449,5,0,4.546713544,1,0.6585
7.512282942,605,3,5.954867072,1,3,5.071902984,1,1.132
